date,A2C,DDPG,PPO,TD3,SAC
2021-09-24,186885.55197474678,260934.20807003026,192165.1832224122,187195.19835128792,226754.0307920228
2021-09-27,189290.359683487,255122.84719966893,192078.59942114266,189695.2483390809,227230.56016519174
2021-09-28,188349.81192347725,248428.65951656346,191055.7433420411,188738.33110275277,225395.71021249398
2021-09-29,185492.16525599678,245708.06284450536,189612.0530649415,185744.0891288758,224055.04370095834
2021-09-30,183718.25244471748,243159.16660427098,190646.6184641114,183957.5458854676,222100.22506692514
2021-10-01,185891.75900599678,241362.60917018895,188364.43374121102,186237.2643608094,222075.01052835092
2021-10-04,186560.679995987,245648.3923275376,192466.66044104012,186911.91360702523,224570.3146970521
2021-10-05,185259.49551722725,252010.73011135106,195162.00303137215,185639.29251327523,228608.3668515931
2021-10-06,182886.18301722725,245674.19613002782,191943.88952124031,183291.55583419808,223342.386535431
2021-10-07,182688.63135096748,252022.56958889012,191884.59491979989,183016.25525131234,226712.1168668519
2021-10-08,182505.96613700874,251770.60549779516,191692.72548461924,182833.3023937684,226485.4722798768
2021-10-11,182300.70135670478,247795.31293259436,191554.2278057252,182620.412112732,226443.2636764222
2021-10-12,180264.26347523506,246279.84110031897,194360.4486614381,180587.2592349244,223363.3987212373
2021-10-13,182679.92959767158,249146.57219467932,195760.63695489513,182984.0295748902,226680.72086528025
2021-10-14,184050.1013200837,254278.388478859,197142.47325860607,184347.58948089607,229082.57883647166
2021-10-18,183924.29553395088,259861.6147667008,198055.20226251232,184221.21655609139,230676.06778910838
2021-10-19,178362.22061329658,263047.9276329117,200666.8568645631,178679.9596896363,227774.01505473338
2021-10-20,178183.94495976265,262784.88462801365,200466.23308584606,178501.37610391245,227546.27038011182
2021-10-21,177781.11742848216,259488.5402099381,197097.15932193006,178114.99886260997,226889.65690051284
2021-10-22,178399.92321810924,260032.47978513342,197407.5274249574,178795.68444000254,227053.5061012117
2021-10-25,178217.89009127818,258808.11047666174,194075.94014468396,178690.17079864512,227280.87687208573
2021-10-26,178039.73841966258,258549.41096085362,193881.9223105165,178511.48418240368,227053.70255540483
2021-10-27,180111.0277002107,257525.65022211464,191026.2492424776,180509.21801974502,227006.8690178835
2021-10-28,181691.29182984936,257540.51570063026,189576.32254570027,182446.99556185928,222673.4189599001
2021-10-29,186257.8552453767,249063.24162226112,186358.39957339497,186917.40504672256,220665.83741693135
2021-11-01,189673.46703126538,261794.06639032753,185113.56027896138,190346.25451876846,225624.98715142842
2021-11-02,188135.18578126538,257221.9212182084,183438.77124697895,188896.3925650331,226249.27085809346
2021-11-03,192379.60283448803,254545.77061396034,182508.8591986391,193419.71020724502,226792.35778741474
2021-11-04,192139.6989953767,256345.41316156776,183697.73105532856,193154.19262912002,227857.4539635622
2021-11-08,200171.50276734936,248547.41474848182,186779.95191104145,201168.24487521377,227744.1279442751
2021-11-09,199971.364687729,248298.94924930582,186593.17321173113,200967.08503335583,227516.44951626606
2021-11-10,198445.19333425918,245081.27418399826,188296.54218466204,199399.0847989656,225980.98849288962
2021-11-11,197015.23607412734,241294.9656894304,186815.46515829486,197929.3959104158,226209.0020426943
2021-11-12,197976.46677175918,247317.29292179123,190082.93100912494,198893.83742347732,228565.43502609275
2021-11-15,197207.04872671523,246954.57513309494,188865.49610311908,197968.61011329666,230462.8819255068
2021-11-16,193258.31825796523,247316.82401920334,186112.7981050722,194097.42737403885,230532.27602951071
2021-11-17,192832.1033379213,250080.00562931076,184203.0922029726,193551.27416053787,228516.99096481345
2021-11-18,190628.69310537734,242805.46507144943,183217.6743562929,191233.15323463455,225398.1020793154
2021-11-22,187597.84154287734,240149.18670536057,174934.55155355853,188237.71335426345,224449.38046066306
2021-11-23,187792.25192800918,239650.94232059494,177093.0509126894,188487.11531654373,224614.34170333884
2021-11-24,185892.0406853334,236800.35243106858,175796.05350668353,186592.66005531326,223311.01495162986
2021-11-25,186668.29482046523,237340.10038639084,182032.18937094134,187248.25623146072,223434.53118698142
2021-11-26,181271.62279287734,228161.47454715744,175630.71994955462,181797.57956520095,223424.56332199118
2021-11-29,181258.9430290834,229300.70880008713,177829.27390463275,181806.28633705154,226980.04821579
2021-11-30,182244.63857046523,228316.0700366594,177531.2403352968,182789.61267677322,229000.92794601462
2021-12-01,179652.64623037734,237614.10749698654,180858.6752107851,180270.19760719314,232000.8389567568
2021-12-02,179684.32982412734,242516.23007083908,183081.62662680072,180222.87503639236,236078.10540573142
2021-12-03,180006.27904287734,239696.64408756272,178622.39447958392,180669.93979469314,235977.2965678408
2021-12-06,176964.5406853334,232443.69073368088,174228.09195883197,177650.52461830154,229157.61327926657
2021-12-07,178960.9547478334,235741.22875858322,175899.55784017962,179651.45503822342,232425.90225021384
2021-12-08,182031.83373037734,240384.7519672014,179547.49793417376,182706.9193479158,235144.51464645407
2021-12-09,182699.15810171523,240890.16857791916,181199.8068941347,183288.08344093338,233660.29269210837
2021-12-10,182759.34154287734,239881.25158573166,181835.81601889056,183306.5793820955,235797.8611430361
2021-12-13,182315.95482412734,242534.58338809983,178013.51343710345,182873.87460914627,234079.87737838767
2021-12-14,181280.62294546523,243801.71311832443,175929.73401815814,182022.77515235916,234902.31173507712
2021-12-15,180820.3650566713,242936.04307437912,173793.5698641054,181702.1710111238,231457.1788310244
2021-12-16,181738.2750603334,242956.28817630783,175395.9701326601,182625.17415443435,232213.67876998923
2021-12-17,179818.7634941713,237520.14289737717,170516.23761923236,180720.74071327224,232578.91406051657
2021-12-20,175611.86122671523,229902.64575077072,166121.79052145404,176491.12061134353,230613.5137919619
2021-12-21,179435.47060171523,234366.39449955002,167637.00385458392,180385.64545265213,233932.10925094626
2021-12-22,180635.62685171523,238013.589018593,170651.12793905658,181717.2111875154,235335.97991745017
2021-12-23,179879.63857046523,240167.36756778733,171425.73649008197,180877.0864926912,237463.8647746279
2021-12-24,177165.3806816713,242762.26913333908,170830.67188436908,178083.11278358474,237940.81704513571
2021-12-27,177853.70497671523,247856.35948062912,171094.53672201556,178806.6257993318,239578.66872970603
2021-12-28,181517.26732412734,249565.15925479904,172703.58527548236,182514.32431617752,240341.65923873923
2021-12-29,181969.42372671523,249430.99479557053,173491.12085897845,183016.10547462478,239419.7092265322
2021-12-30,181246.2869316713,252187.78169132248,171115.3158357851,182290.87676063552,242004.95190231345
2021-12-31,185904.6619316713,251554.4133746721,172481.4098604433,186938.63060585037,242252.79522506736
2022-01-03,189015.5367790834,253484.9862048723,176411.94162924212,190119.90059486404,247522.38247482321
2022-01-04,187320.7164665834,252902.69387699143,179402.1397798769,188460.65675941482,251710.62850753806
2022-01-05,187473.24013296523,248165.94972110764,183179.0465791933,188651.61951271072,250318.59118454
2022-01-06,182897.02513662734,245850.96842838303,180933.06461508197,184055.31955543533,246811.88729660056
2022-01-07,185019.2361504213,246965.35021854416,180906.79606039447,186122.00591102615,249916.62432662986
2022-01-10,185820.98622671523,248031.78188968674,181202.48459799212,186964.15155616775,251513.57687179587
2022-01-11,186274.07614675918,249780.1928088762,181954.3215425722,187475.05385414138,253873.91894332907
